GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
domain,domain.exceptions,MyS3Exception,5,4,0,0,2,2,1,1,1,1
domain,domain.exceptions,MyAppException,57,14,4,0,13,6,5,2,3,2
